,portfolio,investment,cash
2017-01-02,100000.0,0.0,100000.0
2017-01-03,100000.0,0.0,100000.0
2017-01-04,100000.0,0.0,100000.0
2017-01-05,100000.0,0.0,100000.0
2017-01-06,100000.0,0.0,100000.0
2017-01-09,100000.0,0.0,100000.0
2017-01-10,100000.0,0.0,100000.0
2017-01-11,100000.0,0.0,100000.0
2017-01-12,100000.0,0.0,100000.0
2017-01-13,100000.0,0.0,100000.0
2017-01-16,100000.0,0.0,100000.0
2017-01-17,100000.0,0.0,100000.0
2017-01-18,100000.0,0.0,100000.0
2017-01-19,100000.0,0.0,100000.0
2017-01-20,100000.0,0.0,100000.0
2017-01-23,100000.0,0.0,100000.0
2017-01-24,100000.0,0.0,100000.0
2017-01-25,100000.0,0.0,100000.0
2017-01-27,100000.0,0.0,100000.0
2017-01-30,100000.0,0.0,100000.0
2017-01-31,100000.0,0.0,100000.0
2017-02-01,100000.0,0.0,100000.0
2017-02-02,100000.0,0.0,100000.0
2017-02-03,100000.0,0.0,100000.0
2017-02-06,100000.0,0.0,100000.0
2017-02-07,100000.0,0.0,100000.0
2017-02-08,100000.0,0.0,100000.0
2017-02-09,100000.0,0.0,100000.0
2017-02-10,100000.0,0.0,100000.0
2017-02-13,100000.0,0.0,100000.0
2017-02-14,100000.0,0.0,100000.0
2017-02-15,100000.0,0.0,100000.0
2017-02-16,100000.0,0.0,100000.0
2017-02-17,100000.0,0.0,100000.0
2017-02-20,100000.0,0.0,100000.0
2017-02-21,100000.0,0.0,100000.0
2017-02-22,100000.0,0.0,100000.0
2017-02-23,100000.0,0.0,100000.0
2017-02-27,100000.0,0.0,100000.0
2017-02-28,100000.0,0.0,100000.0
2017-03-01,100000.0,0.0,100000.0
2017-03-02,100000.0,0.0,100000.0
2017-03-03,100000.0,0.0,100000.0
2017-03-06,100000.0,0.0,100000.0
2017-03-07,100000.0,0.0,100000.0
2017-03-08,100000.0,0.0,100000.0
2017-03-09,100000.0,0.0,100000.0
2017-03-10,100000.0,0.0,100000.0
2017-03-14,100000.0,0.0,100000.0
2017-03-15,100000.0,0.0,100000.0
2017-03-16,100000.0,0.0,100000.0
2017-03-17,100000.0,0.0,100000.0
2017-03-20,100000.0,0.0,100000.0
2017-03-21,100000.0,0.0,100000.0
2017-03-22,100000.0,0.0,100000.0
2017-03-23,100000.0,0.0,100000.0
2017-03-24,100000.0,0.0,100000.0
2017-03-27,100000.0,0.0,100000.0
2017-03-28,100000.0,0.0,100000.0
2017-03-29,100000.0,0.0,100000.0
2017-03-30,100000.0,0.0,100000.0
2017-03-31,100000.0,0.0,100000.0
2017-04-03,100000.0,0.0,100000.0
2017-04-05,100000.0,0.0,100000.0
2017-04-06,100000.0,0.0,100000.0
2017-04-07,100000.0,0.0,100000.0
2017-04-10,100000.0,0.0,100000.0
2017-04-11,100000.0,0.0,100000.0
2017-04-12,100000.0,0.0,100000.0
2017-04-13,100000.0,0.0,100000.0
2017-04-17,100000.0,0.0,100000.0
2017-04-18,100000.0,0.0,100000.0
2017-04-19,100000.0,0.0,100000.0
2017-04-20,100000.0,0.0,100000.0
2017-04-21,100000.0,0.0,100000.0
2017-04-24,100000.0,0.0,100000.0
2017-04-25,100000.0,0.0,100000.0
2017-04-26,100000.0,0.0,100000.0
2017-04-27,100000.0,0.0,100000.0
2017-04-28,100000.0,0.0,100000.0
2017-05-02,100000.0,0.0,100000.0
2017-05-03,100000.0,0.0,100000.0
2017-05-04,100000.0,0.0,100000.0
2017-05-05,100000.0,0.0,100000.0
2017-05-08,100000.0,0.0,100000.0
2017-05-09,100000.0,0.0,100000.0
2017-05-10,100000.0,0.0,100000.0
2017-05-11,100000.0,0.0,100000.0
2017-05-12,100000.0,0.0,100000.0
2017-05-15,100000.0,0.0,100000.0
2017-05-16,100000.0,0.0,100000.0
2017-05-17,100000.0,0.0,100000.0
2017-05-18,100000.0,0.0,100000.0
2017-05-19,100000.0,0.0,100000.0
2017-05-22,100000.0,0.0,100000.0
2017-05-23,100000.0,0.0,100000.0
2017-05-24,100000.0,0.0,100000.0
2017-05-25,100000.0,0.0,100000.0
2017-05-26,100000.0,0.0,100000.0
2017-05-29,100000.0,0.0,100000.0
2017-05-30,100000.0,0.0,100000.0
2017-05-31,100000.0,0.0,100000.0
2017-06-01,100000.0,0.0,100000.0
2017-06-02,100000.0,0.0,100000.0
2017-06-05,100000.0,0.0,100000.0
2017-06-06,100000.0,0.0,100000.0
2017-06-07,100000.0,0.0,100000.0
2017-06-08,100000.0,0.0,100000.0
2017-06-09,100000.0,0.0,100000.0
2017-06-12,100000.0,0.0,100000.0
2017-06-13,100000.0,0.0,100000.0
2017-06-14,100000.0,0.0,100000.0
2017-06-15,100000.0,0.0,100000.0
2017-06-16,100000.0,0.0,100000.0
2017-06-19,100000.0,0.0,100000.0
2017-06-20,100000.0,0.0,100000.0
2017-06-21,100000.0,0.0,100000.0
2017-06-22,100000.0,0.0,100000.0
2017-06-23,100000.0,0.0,100000.0
2017-06-27,100000.0,0.0,100000.0
2017-06-28,100000.0,0.0,100000.0
2017-06-29,100000.0,0.0,100000.0
2017-06-30,100000.0,0.0,100000.0
2017-07-03,100000.0,0.0,100000.0
2017-07-04,100000.0,0.0,100000.0
2017-07-05,100000.0,0.0,100000.0
2017-07-06,100000.0,0.0,100000.0
2017-07-07,100000.0,0.0,100000.0
2017-07-10,100000.0,0.0,100000.0
2017-07-11,100000.0,0.0,100000.0
2017-07-12,100000.0,0.0,100000.0
2017-07-13,100000.0,0.0,100000.0
2017-07-14,100000.0,0.0,100000.0
2017-07-17,100000.0,0.0,100000.0
2017-07-18,100000.0,0.0,100000.0
2017-07-19,100000.0,0.0,100000.0
2017-07-20,100000.0,0.0,100000.0
2017-07-21,100000.0,0.0,100000.0
2017-07-24,100000.0,0.0,100000.0
2017-07-25,100000.0,0.0,100000.0
2017-07-26,100000.0,0.0,100000.0
2017-07-27,100000.0,0.0,100000.0
2017-07-28,100000.0,0.0,100000.0
2017-07-31,100000.0,0.0,100000.0
2017-08-01,100000.0,0.0,100000.0
2017-08-02,100000.0,0.0,100000.0
2017-08-03,100000.0,0.0,100000.0
2017-08-04,100000.0,0.0,100000.0
2017-08-07,100000.0,0.0,100000.0
2017-08-08,100000.0,0.0,100000.0
2017-08-09,100000.0,0.0,100000.0
2017-08-10,100000.0,0.0,100000.0
2017-08-11,100000.0,0.0,100000.0
2017-08-14,100000.0,0.0,100000.0
2017-08-16,100000.0,0.0,100000.0
2017-08-17,100000.0,0.0,100000.0
2017-08-18,100000.0,0.0,100000.0
2017-08-21,100000.0,0.0,100000.0
2017-08-22,100000.0,0.0,100000.0
2017-08-23,100000.0,0.0,100000.0
2017-08-24,100000.0,0.0,100000.0
2017-08-28,100000.0,0.0,100000.0
2017-08-29,100000.0,0.0,100000.0
2017-08-30,100000.0,0.0,100000.0
2017-08-31,100000.0,0.0,100000.0
2017-09-01,100000.0,0.0,100000.0
2017-09-04,100000.0,0.0,100000.0
2017-09-05,100000.0,0.0,100000.0
2017-09-06,100000.0,0.0,100000.0
2017-09-07,100000.0,0.0,100000.0
2017-09-08,100000.0,0.0,100000.0
2017-09-11,100000.0,0.0,100000.0
2017-09-12,100000.0,0.0,100000.0
2017-09-13,100000.0,0.0,100000.0
2017-09-14,100000.0,0.0,100000.0
2017-09-15,100000.0,0.0,100000.0
2017-09-18,100000.0,0.0,100000.0
2017-09-19,100000.0,0.0,100000.0
2017-09-20,100000.0,0.0,100000.0
2017-09-21,100000.0,0.0,100000.0
2017-09-22,100000.0,0.0,100000.0
2017-09-25,100000.0,0.0,100000.0
2017-09-26,100000.0,0.0,100000.0
2017-09-27,100000.0,0.0,100000.0
2017-09-28,100000.0,0.0,100000.0
2017-09-29,100000.0,0.0,100000.0
2017-10-03,100000.0,0.0,100000.0
2017-10-04,100000.0,0.0,100000.0
2017-10-05,100455.281311512,79065.14768075943,21390.133630752563
2017-10-06,101748.23818778992,80358.10455703735,21390.133630752563
2017-10-09,102195.62348937988,80805.48985862732,21390.133630752563
2017-10-10,102873.26507735252,81483.13144659996,21390.133630752563
2017-10-11,101714.93230891228,80324.79867815971,21390.133630752563
2017-10-12,102566.51387929916,81176.3802485466,21390.133630752563
2017-10-13,102945.74197387695,81555.60834312439,21390.133630752563
2017-10-16,103623.69207668304,82233.55844593048,21390.133630752563
2017-10-17,103983.54814338684,82593.41451263428,21390.133630752563
2017-10-18,103976.25977945328,82586.12614870071,21390.133630752563
2017-10-19,103992.05905103683,82601.92542028427,21390.133630752563
2017-10-23,104520.35346269608,83130.21983194351,21390.133630752563
2017-10-24,105471.93285417557,84081.799223423,21390.133630752563
2017-10-25,106833.28633880615,85443.15270805359,21390.133630752563
2017-10-26,108044.72725582123,86654.59362506866,21390.133630752563
2017-10-27,108131.56956195831,86741.43593120575,21390.133630752563
2017-10-30,109398.08597803116,88007.9523472786,21390.133630752563
2017-10-31,109908.62100696564,88518.48737621307,21390.133630752563
2017-11-01,110722.19704151154,89332.06341075897,21390.133630752563
2017-11-02,111480.66112136841,90090.52749061584,21390.133630752563
2017-11-03,111798.25752162933,90408.12389087677,21390.133630752563
2017-11-06,112843.3820476532,91453.24841690063,21390.133630752563
2017-11-07,111584.69358634949,90194.55995559692,21390.133630752563
2017-11-08,110427.93722438812,89037.80359363556,21390.133630752563
2017-11-09,111186.2661151886,89796.13248443604,21390.133630752563
2017-11-10,111429.60476636887,90039.4711356163,21390.133630752563
2017-11-13,110656.6596865654,89266.52605581284,21390.133630752563
2017-11-14,110590.83234739304,89200.69871664047,21390.133630752563
2017-11-15,109407.511988163,72551.961643219,36855.550344944
2017-11-16,110150.15836191177,73294.60801696777,36855.550344944
2017-11-17,110768.13877725601,73912.58843231201,36855.550344944
2017-11-20,111013.18014383316,74157.62979888916,36855.550344944
2017-11-21,111412.73539972305,74557.18505477905,36855.550344944
2017-11-22,111415.11224985123,74559.56190490723,36855.550344944
2017-11-23,111665.5641617775,74810.0138168335,36855.550344944
2017-11-24,111878.11902856827,75022.56868362427,36855.550344944
2017-11-27,112362.1129937172,75506.5626487732,36855.550344944
2017-11-28,112193.42331171036,75337.87296676636,36855.550344944
2017-11-29,112219.61093378067,75364.06058883667,36855.550344944
2017-11-30,111747.92451334,74892.374168396,36855.550344944
2017-12-01,111016.08485269547,74160.53450775146,36855.550344944
2017-12-04,110788.33230447769,73932.78195953369,36855.550344944
2017-12-05,110761.20005655289,73905.64971160889,36855.550344944
2017-12-06,110042.87743616104,73187.32709121704,36855.550344944
2017-12-07,111129.1541428566,74273.6037979126,36855.550344944
2017-12-08,111927.11817407608,75071.56782913208,36855.550344944
2017-12-11,111873.79640817642,75018.24606323242,36855.550344944
2017-12-12,111291.22970819473,74435.67936325073,36855.550344944
2017-12-13,110750.35292291641,73894.80257797241,36855.550344944
2017-12-14,110981.19245386124,74125.64210891724,36855.550344944
2017-12-15,111563.00462961197,74707.45428466797,36855.550344944
2017-12-18,111774.11853647232,74918.56819152832,36855.550344944
2017-12-19,112780.09358072281,75924.54323577881,36855.550344944
2017-12-20,113211.20984125137,76355.65949630737,36855.550344944
2017-12-21,113694.56172037125,76839.01137542725,36855.550344944
2017-12-22,113923.80332040787,77068.25297546387,36855.550344944
2017-12-26,114526.02332544327,88794.24715900421,25731.776166439056
2017-12-27,114263.761988163,88531.98582172394,25731.776166439056
2017-12-28,114549.4741435051,88817.69797706604,25731.776166439056
2017-12-29,115322.75216913223,89590.97600269318,25731.776166439056
2018-01-01,115964.31378984451,90232.53762340546,25731.776166439056
2018-01-02,115901.68311262131,90169.90694618225,25731.776166439056
2018-01-03,116924.3680319786,91192.59186553955,25731.776166439056
2018-01-04,118540.69768762589,92808.92152118683,25731.776166439056
2018-01-05,119337.39936971664,93605.62320327759,25731.776166439056
2018-01-08,120693.75704431534,94961.98087787628,25731.776166439056
2018-01-09,120840.52301073074,95108.74684429169,25731.776166439056
2018-01-10,120767.02874517441,95035.25257873535,25731.776166439056
2018-01-11,121483.81462812424,95752.03846168518,25731.776166439056
2018-01-12,121896.94797372818,96165.17180728912,25731.776166439056
2018-01-15,122036.30749177933,96304.53132534027,25731.776166439056
2018-01-16,119928.55975103378,94196.78358459473,25731.776166439056
2018-01-17,120404.82156324387,94673.04539680481,25731.776166439056
2018-01-18,117869.17765378952,92137.40148735046,25731.776166439056
2018-01-19,118774.4490866661,93042.67292022705,25731.776166439056
2018-01-22,119632.40246725082,93900.62630081177,25731.776166439056
2018-01-23,120168.49455595016,94436.71838951111,25731.776166439056
2018-01-24,119614.04114484787,93882.26497840881,25731.776166439056
2018-01-25,119497.54115533829,93765.76498889923,25731.776166439056
2018-01-29,118272.78058290482,92541.00441646576,25731.776166439056
2018-01-30,117221.23239469528,91489.45622825623,25731.776166439056
2018-01-31,116494.74469804764,90762.96853160858,25731.776166439056
2018-02-01,116698.44257688522,90966.66641044617,25731.776166439056
2018-02-02,112164.79363918304,86433.01747274399,25731.776166439056
2018-02-05,112040.90879821777,86309.13263177872,25731.776166439056
2018-02-06,109749.56896877289,84017.79280233383,25731.776166439056
2018-02-07,111797.17943525314,86065.40326881409,25731.776166439056
2018-02-08,113725.93012285233,87994.15395641327,25731.776166439056
2018-02-09,114081.12146186829,88349.34529542923,25731.776166439056
2018-02-12,115670.53097105026,89938.7548046112,25731.776166439056
2018-02-14,115942.25266218185,90210.4764957428,25731.776166439056
2018-02-15,114621.27396392822,88962.59499931335,25658.678964614868
2018-02-16,113604.14922904968,87945.47026443481,25658.678964614868
2018-02-19,112501.49169445038,86842.81272983551,25658.678964614868
2018-02-20,112250.6411781311,86591.96221351624,25658.678964614868
